Shape                    , classID   , x0             , x1             , x2             , x3             , x4             , y1             , y2             , y3             , y4             , y5             , O           , S_f            , Area           , J              , Iyy            , Izz            
Valid_shape(O = 1)       , 1         , 1.4408522087   , 1.4385468452   , 1.4039663922   , 1.2541177625   , 0.8506791440   , 0.9319543504   , 1.3739381209   , 1.5000000000   , 1.5000000000   , 1.5000000000   , 1.0         , 0.8705805087   , 8.5206005245   , 10.3967713875  , 6.2671609449   , 5.7417705440   
Valid_shape(O = 1)       , 1         , 1.5000008529   , 1.5000001518   , 1.2719996927   , 0.8490012494   , 0.2984998394   , 0.2984996679   , 0.8489991440   , 1.2720016836   , 1.5000000530   , 1.4999988241   , 1.0         , 0.9434526869   , 7.0697535685   , 7.9486698759   , 3.9773955037   , 3.9773941082   
Valid_shape(O = 1)       , 1         , 0.4113818704   , 0.7973862293   , 1.4919382186   , 1.4837261798   , 0.8200879125   , 0.4274153977   , 0.5656012683   , 1.3641103547   , 1.5000000000   , 1.4817128856   , 1.0         , 0.5941404275   , 6.8735410404   , 3.2617623874   , 5.8476324716   , 3.9071947342   
Valid_shape(O = 1)       , 1         , 1.5000000000   , 1.5000000000   , 1.5000000000   , 1.3568375941   , 0.9266818633   , 0.9261120944   , 1.3535590318   , 1.5000000000   , 1.5000000000   , 1.5000000000   , 1.0         , 0.8590370769   , 8.9373718617   , 11.3599990828  , 6.6205419383   , 6.6204606601   
Valid_shape(O = 1)       , 1         , 1.4903175094   , 1.4973303620   , 1.2818122820   , 0.8434562626   , 0.2873842864   , 0.2867336652   , 0.8575962252   , 1.2872913867   , 1.5000000000   , 1.4916360994   , 1.0         , 0.9383702774   , 7.0946239018   , 8.0030244078   , 4.0104248867   , 4.0009453066   
Valid_shape(O = 1)       , 1         , 0.2698731107   , 0.8359102153   , 1.4930548082   , 1.4892783699   , 0.8294395137   , 0.2938092755   , 0.4528929989   , 1.3187806680   , 1.5000000000   , 1.4876120371   , 1.0         , 0.6555676736   , 7.1668153233   , 3.3357297819   , 5.8221097313   , 4.2832193045   
Valid_shape(O = 1)       , 1         , 1.4891455188   , 1.4952178085   , 1.4728098306   , 1.3049795642   , 0.8727011470   , 0.8934162234   , 1.3106272109   , 1.4608398741   , 1.4883737778   , 1.5000000000   , 1.0         , 0.8767581620   , 8.7488611270   , 11.0444956561  , 6.3091855928   , 6.3059109904   
Valid_shape(O = 1)       , 1         , 1.3598131554   , 1.3598131554   , 1.1531215558   , 0.7696542460   , 0.2706028179   , 0.2985000000   , 0.8490000000   , 1.2720000000   , 1.5000000000   , 1.5000000000   , 1.0         , 0.9466525575   , 6.4090265693   , 6.5017835171   , 3.6056728134   , 2.9632089317   
Valid_shape(O = 1)       , 1         , 0.2011256878   , 0.5074762512   , 0.9090859844   , 0.9004426145   , 0.4971241959   , 0.3359819187   , 0.4918802700   , 1.3375687691   , 1.5000000000   , 1.4888645679   , 1.0         , 0.6845740196   , 4.3085725002   , 1.4252579126   , 3.5508469616   , 0.9345027250   
Valid_shape(O = 1)       , 1         , 1.2326091439   , 1.2352071711   , 1.2107075519   , 1.0655124691   , 0.7309572765   , 0.8756197370   , 1.2931795407   , 1.4538316855   , 1.5000000000   , 1.4803160840   , 1.0         , 0.8892047652   , 7.1945847230   , 7.3594150394   , 5.1426912768   , 3.5334001424   
Valid_shape(O = 1)       , 1         , 1.4842803324   , 1.4937463557   , 1.2483093325   , 0.8266405999   , 0.2992406103   , 0.2849854268   , 0.8339022949   , 1.2568251683   , 1.4988073468   , 1.5000000000   , 1.0         , 0.9432235628   , 6.9179742873   , 7.6084036183   , 3.8382780163   , 3.7796687653   
Valid_shape(O = 1)       , 1         , 0.2261287200   , 0.7916416942   , 1.4233324461   , 1.4030147753   , 0.7939325732   , 0.2342022176   , 0.4602218996   , 1.2863758224   , 1.4880471447   , 1.5000000000   , 1.0         , 0.6927798211   , 6.8379115709   , 3.1207871335   , 5.4308069419   , 3.6560864546   
Valid_shape(O = 1)       , 1         , 0.9938291121   , 0.9819038953   , 0.9714739258   , 0.8600376755   , 0.5886549040   , 0.8701544288   , 1.3047163043   , 1.4519479261   , 1.5000000000   , 1.4880243825   , 1.0         , 0.8896121687   , 5.7751593124   , 4.4690741983   , 4.1436568961   , 1.8187259023   
Valid_shape(O = 1)       , 1         , 1.1547887901   , 1.1547887901   , 0.9792608940   , 0.6536104552   , 0.2298029692   , 0.2985000000   , 0.8490000000   , 1.2720000000   , 1.5000000000   , 1.5000000000   , 1.0         , 0.9518266942   , 5.4427124846   , 4.5549552318   , 3.0620313748   , 1.8148144853   
Valid_shape(O = 1)       , 1         , 0.2504464659   , 0.8499107068   , 1.5000000000   , 1.5000000000   , 0.8499107068   , 0.2504464659   , 0.4502678795   , 1.3001785863   , 1.5000000000   , 1.5000000000   , 1.0         , 0.6790177158   , 7.3024275513   , 3.4642678463   , 5.8825591499   , 4.4232217670   
Valid_shape(O = 1)       , 1         , 1.5000000000   , 1.5000000000   , 1.5000000000   , 1.3715117728   , 0.9389341732   , 0.9690738728   , 1.4154679451   , 1.5000000000   , 1.5000000000   , 1.5000000000   , 1.0         , 0.8537164862   , 8.9626229078   , 11.3698197004  , 6.6711696686   , 6.6717370681   
Valid_shape(O = 1)       , 1         , 1.5000002334   , 1.5000000961   , 1.2720001066   , 0.8489970952   , 0.2985012133   , 0.2985024287   , 0.8490012103   , 1.2720002713   , 1.4999963531   , 1.5000013896   , 1.0         , 0.9434525100   , 7.0697467684   , 7.9492514250   , 3.9773812778   , 3.9773930313   
Valid_shape(O = 1)       , 1         , 0.2427622731   , 0.8514475454   , 1.5000000000   , 1.5000000000   , 0.8514475454   , 0.2427622731   , 0.4456573639   , 1.2971049092   , 1.5000000000   , 1.5000000000   , 1.0         , 0.6813957301   , 7.3179928971   , 3.4693831411   , 5.8775175709   , 4.4406715454   
Valid_shape(O = 1)       , 1         , 1.4501041536   , 1.4477839870   , 1.4129814873   , 1.2621706553   , 0.8561414923   , 0.8856000000   , 1.3056000000   , 1.4616000000   , 1.4976000000   , 1.5000000000   , 1.0         , 0.8851648507   , 8.4878551027   , 10.4343340751  , 6.1310988038   , 5.7299942988   
Valid_shape(O = 1)       , 1         , 1.3733983515   , 1.3733983515   , 1.1646418021   , 0.7773434670   , 0.2733062719   , 0.2985000000   , 0.8490000000   , 1.2720000000   , 1.5000000000   , 1.5000000000   , 1.0         , 0.9463327198   , 6.4730558680   , 6.6385829713   , 3.6416952419   , 3.0529108625   
Valid_shape(O = 1)       , 1         , 0.3252032559   , 0.8307532261   , 1.4772124300   , 1.4999522705   , 0.8263794192   , 0.3164824378   , 0.4763809634   , 1.3301172207   , 1.4966957000   , 1.5000000000   , 1.0         , 0.6464808610   , 7.1419324772   , 3.4336037560   , 5.8846300391   , 4.2050625867   
Valid_shape(O = 1)       , 1         , 0.8997535156   , 0.9013338530   , 0.8790032101   , 0.7854225569   , 0.5366174382   , 0.8938205939   , 1.3107286940   , 1.4439810477   , 1.4967180086   , 1.5000000000   , 1.0         , 0.8976078203   , 5.2639679647   , 3.5826233905   , 3.7853075948   , 1.3715458809   
Valid_shape(O = 1)       , 1         , 1.4830641816   , 1.4829615123   , 1.2699115639   , 0.8311180693   , 0.3059012863   , 0.2861448046   , 0.8493080516   , 1.2683693350   , 1.5000000000   , 1.4901706544   , 1.0         , 0.9449670580   , 6.9880105683   , 7.7608747374   , 3.9134524099   , 3.8587474188   
Valid_shape(O = 1)       , 1         , 0.2618085035   , 0.7567744039   , 1.3700008842   , 1.3582802368   , 0.7770203736   , 0.2811074423   , 0.4680110898   , 1.2967930482   , 1.4945406237   , 1.5000000000   , 1.0         , 0.6794270105   , 6.5544360846   , 2.9565665605   , 5.3043821385   , 3.2447899084   
Valid_shape(O = 1)       , 1         , 1.2945251956   , 1.2924539553   , 1.2613853506   , 1.1267547302   , 0.7642876755   , 0.8856000000   , 1.3056000000   , 1.4616000000   , 1.4976000000   , 1.5000000000   , 1.0         , 0.8850547034   , 7.5772090298   , 8.2367401738   , 5.4733046991   , 4.0765063496   
Valid_shape(O = 1)       , 1         , 1.4952723741   , 1.4924786683   , 1.2718998636   , 0.8471039212   , 0.3104545287   , 0.3071685952   , 0.8569520297   , 1.2595823947   , 1.5000000000   , 1.4844252370   , 1.0         , 0.9464472262   , 7.0355260842   , 7.8705042019   , 3.9269864253   , 3.9511430110   
Valid_shape(O = 1)       , 1         , 0.2799045465   , 0.8440190907   , 1.5000000000   , 1.5000000000   , 0.8440190907   , 0.2799045465   , 0.4679427279   , 1.3119618186   , 1.5000000000   , 1.5000000000   , 1.0         , 0.6687953215   , 7.2447403610   , 3.4480896798   , 5.9016810831   , 4.3571112650   
Valid_shape(O = 1)       , 1         , 1.4836441230   , 1.4812702924   , 1.4456628334   , 1.2913638446   , 0.8759434902   , 0.8856000000   , 1.3056000000   , 1.4616000000   , 1.4976000000   , 1.5000000000   , 1.0         , 0.8851414212   , 8.6841736906   , 10.9267491063  , 6.2729071459   , 6.1368544352   
